Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Surface_tension, mN/m",Smiles#1,Smiles#2
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,303.15,58.75,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,308.15,58.13,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,313.15,57.58,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,318.15,56.96,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,323.15,56.35,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,328.15,55.92,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.2,0.8,298.15,59.35,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.333,0.667,298.15,58.94,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.333,0.667,303.15,58.33,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.333,0.667,308.15,57.63,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.333,0.667,313.15,56.99,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.333,0.667,318.15,56.39,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.333,0.667,323.15,55.73,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"propane-1,2,3-triol",0.333,0.667,328.15,55.16,CC(C)(C)NCCO.Cl,C(C(CO)O)O
III,2-(tert-butylamino)ethanol;hydrochloride,"2,2,2-trifluoroacetamide",0.333,0.667,303.15,39.78,CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N
III,2-(tert-butylamino)ethanol;hydrochloride,"2,2,2-trifluoroacetamide",0.333,0.667,308.15,39.28,CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N
III,2-(tert-butylamino)ethanol;hydrochloride,"2,2,2-trifluoroacetamide",0.333,0.667,313.15,38.79,CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N
III,2-(tert-butylamino)ethanol;hydrochloride,"2,2,2-trifluoroacetamide",0.333,0.667,318.15,38.36,CC(C)(C)NCCO.Cl,C(=O)(C(F)(F)F)N
