Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Electrical_conductivity, S.cm-1",lg_Conductivity,Smiles#1,Smiles#2,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,oxalic acid,0.5,0.5,343.15,4.67E-03,-2.330683119,C(CO)N(CCO)CCO,C(=O)(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,oxalic acid,0.5,0.5,353.15,5.03E-03,-2.298432015,C(CO)N(CCO)CCO,C(=O)(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,oxalic acid,0.5,0.5,363.15,5.64E-03,-2.248720896,C(CO)N(CCO)CCO,C(=O)(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,(Z)-octadec-9-enoic acid,0.5,0.5,293.15,5.60E-05,-4.251811973,C(CO)N(CCO)CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,(Z)-octadec-9-enoic acid,0.5,0.5,303.15,6.80E-05,-4.167491087,C(CO)N(CCO)CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,(Z)-octadec-9-enoic acid,0.5,0.5,313.15,1.27E-04,-3.896196279,C(CO)N(CCO)CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,(Z)-octadec-9-enoic acid,0.5,0.5,323.15,3.27E-04,-3.485452247,C(CO)N(CCO)CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,(Z)-octadec-9-enoic acid,0.5,0.5,333.15,7.20E-04,-3.142667504,C(CO)N(CCO)CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,(Z)-octadec-9-enoic acid,0.5,0.5,343.15,1.21E-03,-2.91721463,C(CO)N(CCO)CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,(Z)-octadec-9-enoic acid,0.5,0.5,353.15,1.59E-03,-2.798602876,C(CO)N(CCO)CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,(Z)-octadec-9-enoic acid,0.5,0.5,363.15,1.81E-03,-2.741841807,C(CO)N(CCO)CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2-diol",0.3333,0.6667,293.15,2.00E-06,-5.698970004,C(CO)N(CCO)CCO,CC(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2-diol",0.3333,0.6667,303.15,4.00E-06,-5.397940009,C(CO)N(CCO)CCO,CC(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2-diol",0.3333,0.6667,313.15,9.00E-06,-5.045757491,C(CO)N(CCO)CCO,CC(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2-diol",0.3333,0.6667,323.15,1.80E-05,-4.744727495,C(CO)N(CCO)CCO,CC(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2-diol",0.3333,0.6667,333.15,2.50E-05,-4.602059991,C(CO)N(CCO)CCO,CC(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2-diol",0.3333,0.6667,343.15,2.80E-05,-4.552841969,C(CO)N(CCO)CCO,CC(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2-diol",0.3333,0.6667,353.15,3.40E-05,-4.468521083,C(CO)N(CCO)CCO,CC(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"propane-1,2-diol",0.3333,0.6667,363.15,7.00E-05,-4.15490196,C(CO)N(CCO)CCO,CC(CO)O,,,
V,2-(trimethylazaniumyl)acetate,2-hydroxyacetic acid,0.3333,0.6667,303.15,1.79E-04,-3.747146969,C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,,,
III,2-acetyloxyethyl(trimethyl)azanium chloride,urea,0.3333,0.6667,313.15,1.70E-05,-4.769551079,CC(=O)OCC[N+](C)(C)C.[Cl-],C(=O)(N)N,,,
